HSB_1_250	Lampa, běłu swěcu, prošu.
HSB_1_296	Lampa, daj štyrceći procentow.
HSB_1_297	Lampa, zymnu běłu barbu, prošu.
HSB_1_298	Lampa, daj pjećaštyrcći procentow.
HSB_1_299	Lampa, zymno-běłu barbu, prošu.
HSB_1_300	Swěca, zymno-běłe, prošu.
HSB_1_301	Swěca, pjećdźesać procentow, prošu.
HSB_1_302	Swěca, dźewjećdźesat procentow, prošu.
HSB_1_303	Swěca, daj pjećatřiceći procentow.
HSB_1_304	Swěca, pjećatřicci procentow, prošu.
HSB_1_305	Lampa, daj pjećdźesat procentow.
HSB_1_306	Swěca, pjećdźesat procentow.
HSB_1_307	Swěca, daj pjećdźesat procentow.
HSB_1_308	Swěca, daj dwacci procentow.
HSB_1_309	Swěca, zymnu běłu barbu, prošu.
HSB_1_310	Lampa, wosomdźesat procentow.
HSB_1_311	Swěca, štyrceći procentow, prošu.
HSB_1_312	Swěca, daj pjećadźewjećdźesać procentow.
HSB_1_313	Swěcu hasnyć.
HSB_1_314	Swěca, oranžowe, prošu.
HSB_1_315	Swěca, pjećawosomdźesać procentow, prošu.
HSB_1_316	Swěca, zelenu barbu, prošu.
HSB_1_317	Lampa, pjećasydomdźesat procentow, prošu.
HSB_1_318	Swěca, pjećapołsta procentow.
HSB_1_319	Swěca, daj pjećapjećdźesać procentow.
HSB_1_320	Lampa, ćopłu běłu swěcu, prošu.
HSB_1_321	Swěca, běłu barbu, prošu.
HSB_1_322	Hasń prošu barbu
HSB_1_323	Lampa, daj wšo.
HSB_1_324	Swěca, pjećadwaceći procentow.
HSB_1_325	Ćopłu běłu swěcu, prošu.
HSB_1_326	Lampa, pjećawosomdźesać procentow, prošu.
HSB_1_327	Swěca, budź tak swětła kaž słónco.
HSB_1_328	Lampa, dwacci procentow.
HSB_1_329	Swěca, hasń so.
HSB_1_330	Swěca, šěsćdźesać procentow.
HSB_1_331	Swěca, pjećapjećdźesać procentow.
HSB_1_332	Lampa, daj třicci procentow.
HSB_1_333	Lampa, pjećdźesat procentow, prošu.
HSB_1_334	Swěca, módre, prošu.
HSB_1_335	Lampa, třiceći procentow, prošu.
HSB_1_336	Lampa, cyle swětło.
HSB_1_337	Swěca, chłódno-běłu barbu, prošu.
HSB_1_338	Swěca, daj šěsćdźesat procentow.
HSB_1_339	Oranžowu barbu, prošu.
HSB_1_340	Swěca, daj pjećawosomdźesać procentow.
HSB_1_341	Lampa, trošku romantiki.
HSB_1_342	Swěca, chłódno-běłe, prošu.
HSB_1_343	Lampa, přitulnu swěcu prošu.
HSB_1_344	Trjebam swěcu.
HSB_1_345	Swěca, zelenu swěcu, prošu.
HSB_1_346	Lampa, ćopło-běłu swěcu, prošu.
HSB_1_347	Lampa, pjećasydomdźesat procentow.
HSB_1_348	Swěca, ćopłu běłu barbu, prošu.
HSB_1_349	Lampu hasnyć.
HSB_1_350	Swěca, pjećašěsćdźesać procentow.
HSB_1_351	Lampa, dźewjećdźesat procentow, prošu.
HSB_1_352	Swěca, trjebam swěcu.
HSB_1_353	Zymno-běłu swěcu, prošu.
HSB_1_354	Swěcu prošu!
HSB_1_355	Lampa, přitulnu swěcu.
HSB_1_356	Lampa, pjećawosomdźesat procentow, prošu.
HSB_1_357	Swěcu hasńć, prošu.
HSB_1_358	Lampa, pjećawosomdźesać procentow.
HSB_1_359	Oranžowu swěcu, prošu.
HSB_1_360	Lampa, trošku romantiki prošu.
HSB_1_361	Lampa, pjećaštyrcći procentow, prošu.
HSB_1_362	Lampa, daj pjećadwaceći procentow.
HSB_1_363	Lampa, pjećadwacći procentow.
HSB_1_364	Oranžowu swěcu, prošu.
HSB_1_365	Lampa, dwacći procentow.
HSB_1_366	Lampa, zymnu běłu barbu, prošu.
HSB_1_367	Swěca, třiceći procentow, prošu.
HSB_1_368	Swěcu hasnyć!
HSB_1_369	Swěca, sydomdźesać procentow, prošu.
HSB_1_370	Lampa, dwaceći procentow, prošu.
HSB_1_371	Swěca, chłódno-běłu swěcu, prošu.
HSB_1_372	Swěca, sydomdźesać procentow.
HSB_1_373	Lampa, chłódno-běłe, prošu.
HSB_1_374	Swěca, daj pjećapołsta procentow.
HSB_1_375	Lampa, daj pjeć procentow.
HSB_1_376	Lampa, oranžowu swěcu, prošu.
HSB_1_377	Swěca, pjećawosomdźesać procentow.
HSB_1_378	Lampa, pjećatřiceći procentow, prošu.
HSB_1_379	Lampa, dwacći procentow, prošu.
HSB_1_380	Swěca, zaswěć so.
HSB_1_381	Swěca, přitulnu barbu.
HSB_1_382	Lampa, romantiku.
HSB_1_383	Lampa, sym hotowy z čitanjom.
HSB_1_384	Lampa, přitulnu barbu prošu.
HSB_1_385	Swěca, daj pjećadwacći procentow.
HSB_1_386	Lampa, štyrcci procentow, prošu.
HSB_1_387	Lampa, wonka je swětło dosć.
HSB_1_388	Lampa, daj pjećawosomdźesać procentow.
HSB_1_389	Lampa, budź tak swětła kaž móžno.
HSB_1_390	Swěca, dźewjećdźesat procentow.
HSB_1_391	Lampa, chłódno-běłu swěcu, prošu.
HSB_1_392	Lampa, daj pjećasydomdźesać procentow.
HSB_1_393	Lampa, sydomdźesać procentow.
HSB_1_394	Swěca, daj štyrcci procentow.
HSB_1_395	Swěca, pjatnać procentow.
HSB_1_396	Swěca, daj třicći procentow.
HSB_1_397	Lampa, pjećašěsćdźesać procentow, prošu.
HSB_1_398	Lampa, dwaceći procentow.
HSB_1_399	Swěca, wosomdźesat procentow, prošu.
HSB_1_400	Lampa, chcu spać.
HSB_1_401	Lampa, połsta procentow, prošu.
HSB_1_402	Swěca, njewidźu ničo.
HSB_1_403	Čerwjenu swěcu, prošu.
HSB_1_404	Swěca, pjećasydomdźesać procentow, prošu.
HSB_1_405	Swěca, pjećaštyrcci procentow.
HSB_1_406	Swěca, třiceći procentow.
HSB_1_000	Wón je předsydu Domowiny w naležnosći wo podpěru prosył.
HSB_1_001	W tutym času započa Brězan, so na ilegalnym dźěle serbskeho spjećowanskeho hibanja wobdźělić.
HSB_1_002	Woni wupraja so za społnomócnjeneho za serbske naležnosće statneho knježerstwa.
HSB_1_003	Kóžde štwórte lěto je hłowna zhromadźizna zdobom wólbna zhromadźizna.
HSB_1_004	Lěwica je swojeho Serba na poslednje městno krajneje lisćiny wotsunyła.
HSB_1_005	Změrcowski wuběrk woli swojeho předsydu ze swojich rjadow.
HSB_1_006	Mjez Budyšinkom a Plusnikecami pozběhuja so hórki, kiž maja zapadne wětry zadźeržeć.
HSB_1_007	Někotremužkuli na žurli zda so tale mysl z krajneje stolicy hišće jara zdalena.
HSB_1_008	Gmejnscy radźićeljo postajichu, štó nadawki w techniskim wuběrku přewza.
HSB_1_009	Maćeršćiny maja wosebity wuznam při posrědkowanju serbšćiny na šulach.
HSB_1_010	Gmejna Halštrowska Hola je wažny partner zwjazka a zamołwita komuna na městnje.
HSB_1_011	Wo to ma so informaciski běrow łužiskeho rewěra starać.
HSB_1_012	Žana biografija wo Mari Grólmusec njehódnoći dotal jeje nahlady wo samostatny serbski stat.
HSB_1_013	Dołhi čas pisachu šulerjo tež w starej němskej rěči.
HSB_1_014	Tehdy su młodźi ludźo z kónčiny prěc ćahnyli.
HSB_1_015	Poł tak zlě, sym wjesoły, zo su će wzali.
HSB_1_016	Wón skutkuje jako bjezposrědny předstajeny jednaćela Domowiny a nawodow Domowinje přisłušacych institucijow.
HSB_1_017	Lětsa pak su sej čłonojo towarstwa něšto cyle wosebiteho wumyslili.
HSB_1_018	K tomu słušatej na přikład lochce transportabelna instalacija "Rum w rumje".
HSB_1_019	Hišće žanoho wusuda njeje.
HSB_1_020	Wobdźěleni su wšitcy zahorjeni.
HSB_1_021	Wšako wopokazuja so wone přeco hišće jako moderna forma komunalneho zhromadneho dźěła.
HSB_1_022	Kóždy ma prawo, swoje měnjenje w słowje, pismje a wobrazu swobodnje zwuraznić a rozšěrjeć.
HSB_1_023	Při tym je nam wažne, zo tež serbscy kandidaća k wólbam nastupja.
HSB_1_024	Swoju hospodliwosć njedopokazuja Chróšćenjo jenož při folklornym festiwalu.
HSB_1_025	K tomu maja so wotpowědne formy dźěławosće wuwić.
HSB_1_026	Zwjazk ma tohorunja za spomóžne, mjezykomunalne dźěło lěpje poradźować a podpěrać.
HSB_1_027	Wšitke pospyty, pućniki tež w Radworju ponowić a dwurěčnje woznamjenić, su zwrěšćili.
HSB_1_028	Ze zdalenosće sym sćěhował, kak politiske bitwy přeco hórje buchu.
HSB_1_029	W tutej funkciji organizujetej tež dalekubłanja za wučerjow.
HSB_1_030	Štóž so za serbskeho kuzłarja zajimuje, je we wsy blisko Wojerec runje prawje.
HSB_1_031	Šula ma nadawk kubłanja.
HSB_1_032	Woni dźěłaja w swójskej zamołwitosći na zakładźe tutych wustawkow a dalšich porjadow Domowiny.
HSB_1_033	Tak móža wuknjacy kaž wučacy cyłe šulske lěto z toho čerpać.
HSB_1_034	Kóždej dwě lěće dyrbja wone na hłowne přepytowanje, kóžde wosom lět na generalnu reparaturu.
HSB_1_035	Hižo jako pachoł horješe so za hudźbu a započa na gitarje hrać.
HSB_1_036	K tomu wotmě so intensiwna wuměna myslow.
HSB_1_038	Žona je proletarka w kulturje přitomnosće.
HSB_1_039	Tute su zakład za plahowanje zwěrjatow.
HSB_1_040	Njemodlće so prosće bjez rozmyslowanja, za tym steji woprawdźite dožiwjenje!
HSB_1_041	A tohodla Wam radźimy, zo wotnětka hižo kopańcu njehraje.
HSB_1_042	W Budyšinje su Serbsku rěčnu šulu wotewrěli.
HSB_1_043	Kajke to poprawom je, jako mjeńšina w Němskej žiwy być?
HSB_1_044	Tuž zasadźamy so zhromadnje za žiwu a samozrozumliwu prezencu serbskeje rěče.
HSB_1_045	Mnoho měnjachu, zo maja so Serbja jednorje k Němcam stać.
HSB_1_046	Tak móža wobdźělnicy serbšćinu jako normalitu dožiwić.
HSB_1_047	Při tym steji čestnohamtski angažement młodostnych w srjedźisću zjawnosće.
HSB_1_048	Wažny kriterij jenož za nadawk we Waliziskej.
HSB_1_049	Wón zetka so ze swojej maćerju kóždu sobotu.
HSB_1_050	Čim wjetši je rěčny korpus, ćim lěpša je kwalita přełožka.
HSB_1_051	Tež wokrjes Zhorjelc so za narodnu mjeńšinu Serbow zasadźa.
HSB_1_052	Za tych jednych kaž za tych tamnych sym tutu serbsko-němsku čitanku zestajał.
HSB_1_053	Čehodla a kak?
HSB_1_054	Prošu njemjetaj črije do róžka.
HSB_1_055	Sobudźěłaćerjo internata su w měnjatych změnach wodnjo a w nocy w słužbje.
HSB_1_056	Dale přewza wón swojeho konja a pušći jeho do wot murjow wobdateje chěže.
HSB_1_057	Dźěl nahromadźenych wěcow kaž běrny, muka, jabłuka a drasta so wokrjesej přepokazuje.
HSB_1_058	Ličba lampow bu cyłkownje wo štyri pjećiny znižena.
HSB_1_059	Přeco wjace busowych předewzaćow z cyłeje Němskeje knihuje jězby do wuhlowych jamow.
HSB_1_060	Nowy čas zmóžni Janej Bukej dalše wukubłanje.
HSB_1_061	Tohodla spisa jednaćel Domowiny směrnicu, kotrejž měješe krajnoradny zarjad přihłosować.
HSB_1_062	Mjeztym su kejžorscy pruskich skóncowali a ze wšěch bokow nadpadnyli.
HSB_1_063	Nětko pak je za waju wulki čas, do łoža hić.
HSB_1_064	A hdźe su zapisane?
HSB_1_065	Nowa studija pak pokazuje, zo to cyle tak jednore njeje.
HSB_1_066	Nadawk politiki je financnu podpěru zaručić.
HSB_1_067	Maš snano lóšt, do wšelakich rólow zalězć a je w rejach předstajić?
HSB_1_068	Konkretne naprawy maja so podkłasć, zo by so tu předležacy dokument zwoprawdźił.
HSB_1_069	Škit, spěchowanje a wuwiwanje serbskeje rěče su hłowne zaměry našeho měrliweho zhromadneho skutkowanja.
HSB_1_070	Wón praji, zo njeje žane špatne nazhonjenja z ćěkancami činił.
HSB_1_072	Poslednje pak je so často fatalnje wuskutkowało.
HSB_1_073	Ze španiskeje, indianskeje a afroameriskeje katedraly stanje so panamaska katedrala.
HSB_1_074	Snano je samo runje tuta koalicija kmana, prawe wotmołwy na wužadanje časa namakać.
HSB_1_075	Wón podpěruje wubědźowanje z aktiwitami a argumentami.
HSB_1_076	Z tutoho stareho nałožka je so dźensniše jutrowne jěchanje wuwiło.
HSB_1_077	Papjera je nam dźensa wušła.
HSB_1_078	Čłonow towarstwa kaž tež jeho partnerow boli, zo Trjebinski wjesnjanosta cyłkej insolwencu wumjetuje.
HSB_1_079	Móžu kóždemu jenož poručić, zo wo swojich tehdyšich nazhonjenjach powěda.
HSB_1_080	Dóstach dopis z Budyšina, zo je za čitanku hnydom tysac hriwnow trěbnych.
HSB_1_081	Wotpowěduja wěcy hišće mojemu słodej a mojej starobje?
HSB_1_082	Dale spóznaješ jón na duli na kóncu nóžki.
HSB_1_083	A wone je jenož serbske, to rěka, zo druzy Słowjenjo hinaše pomjenowanja wužiwaja.
HSB_1_084	Městopředsydaj podpěrujetaj dźěło předsydy a zastupujetaj jeho w padźe jeho njepřitomnosće.
HSB_1_085	Masterski plan za naprawu ma so bórze do nadawka dać.
HSB_1_086	Wone je wjace hač to, mjenujcy sprawnosć, měr a radosć w Swjatym Duchu.
HSB_1_087	Sym wšelakore měnjenja słyšała, jako běch njedawno na městnje.
HSB_1_088	Pućowanske šćežki a rěčki wjedu w přenjesenym zmysle k hwězdam.
HSB_1_089	Połna zrudoby a bjez frinkolateje mocy poda so Jasnička na puć.
HSB_1_090	Naležnosće wza minister sobu do Drježdźan.
HSB_1_091	Fachowa rěč je kluč k natwarej wědy a k zdobyću koncepta.
HSB_1_092	Kak je k tomu dóšło, zo sće serbsku pěstowarnju w Budyšinje wopytała?
HSB_1_093	Na dnjowym porjedźe steji mjez druhim wuhódnoćenje hłowneje zhromadźizny.
HSB_1_094	Ze zazběhom noweho šulskeho lěta maja předźěłane hodźinske tafle płaćiwosće nabyć.
HSB_1_095	Hłupa čorna wopica, ćekła je ze zwěrjenca.
HSB_1_096	Kóždu njedźelu a swjaty dźeń su najprjedy serbske a potom němske kemše.
HSB_1_097	Tón pak dóstanu pozdźišo z financnym wurunanjom za digitalny wutwar wróćene.
HSB_1_098	Lěto pozdźišo wotměchu so prěnje direktne wólby Rady za serbske naležnosće w Braniborskej.
HSB_1_099	Tomu, kiž wino pije, spožči wone wulke mocy.
HSB_1_100	Wo nich spisach najprjedy knižku.
HSB_1_101	Syć z kontaktowymi a zakładnymi datami, zakonikami a słownikami ma so wutworić a hladać.
HSB_1_102	Přitomni diskutowachu wo tym, na koho so wustajeńca wusměrja.
HSB_1_103	Štó trjeba rěč, kotruž Serbja sami druhdy wočiwidnje za trěbnu nimaja?
HSB_1_104	Swoje konfirmaciske hrono pak je so mi hnydom zašćěpiło.
HSB_1_105	Zarjadowanje wotpowěduje zdobom našej zasadźe wo wotewrjenej cyrkwi.
HSB_1_106	Wone nošachu mjena měšćanskich dźělow.
HSB_1_107	Tak wěnowachu so tam we wšelakich projektach spisowaćelej Jurjej Brězanej.
HSB_1_108	Hdyž wučer zastupi, ma kóždy stanyć a strowić.
HSB_1_109	Ale Bože kralestwo to dawno hišće njeje.
HSB_1_110	Wučbny srědk słuži indiwidualnemu spěchowanju šulerjow a podpěra diferencowane wuwučowanje.
HSB_1_111	Přez reformaciju dóńdźe w Serbach w Hornjej Łužicy ke konfesionelnym dźělenju.
HSB_1_112	Přiswoja sej zamóžnosć, diferencujo stejnišćo zabrać a swójske měnjenje wěcy wotpowědnje wopodstatnić.
HSB_1_113	Za wšitkich dalšich šulerjow posrědkuje so wučba w tutych předmjetach bilingualnje.
HSB_1_114	Wona je serbske narodne hibanje wědomje sćěhowała.
HSB_1_115	Z Łužicu móže so wona połna dowěry rozžohnować.
HSB_1_116	K tomu słuša wukubłanje serbskich wučerjow.
HSB_1_117	Naša wowka běše jako młoda žona jara njewotwisna wosoba.
HSB_1_118	Poprawom bě to wulka płotowčina, kotraž hranicu k lěsej twori.
HSB_1_119	To rozłožuje zastupjerka direktora Załožby za serbski lud.
HSB_1_120	Přewjeduja so wulěty a dalše akcije k skrućenju zhromadnosće.
HSB_1_121	Jeje wukubłanje měješe na powołanskej šuli a wučerskim wustawje.
HSB_1_122	Wohnjowy wobornik pomhaše jimaj po tutym rěblu dom wopušćić.
HSB_1_123	Praktisce pak dźělenje swětow postupuje.
HSB_1_124	Kak hódnoćiće rosćacu ličbu hosći?
HSB_1_125	Posledni direktor spytaše šulu w Berlinje jako priwatny institut dale wjesć.
HSB_1_126	Domowina spěchuje zhromadne dźěło mjez serbskimi institucijemi a dalšimi nošerjemi serbskich zajimow.
HSB_1_127	Tak ma wulki podźěl na tym, zo su zarjadowanja přeco derje wopytane.
HSB_1_128	Kedźbyhódne su powostanki nimale sto wuškrěwanskich pjecow za dobywanje železa.
HSB_1_129	Cyłe stare město bě wuměłsce wobswětlene.
HSB_1_130	Nadobo stejitaj wosrjedź boja wo Limasowu twjerdźiznu, kotruž čorni ryćerjo woblěhuja.
HSB_1_131	Škitarka njeje bul prawje widźała, tohodla je so bul do wrotow kulił.
HSB_1_132	Wšako maja so při tym runje tak regionalne rozdźěle wobkedźbować.
HSB_1_133	Wonej jědźeštej pražene neple z jejkom k wobjedu.
HSB_1_134	Wěcne a personalne kóšty spěchuja so přez wokrjes Budyšin.
HSB_1_135	Ja sym pola wyšeho měšćanosty přez haru skoržił.
HSB_1_136	Wot lońšeho podawa wón w Slepom předmjet wuměłstwo.
HSB_1_137	Tak móhli sej dźěći a młodostni napinacy wšědny dźeń burow hišće lěpje wuwědomić.
HSB_1_138	Bydlachu pod ćmowym sewjernym bokom hory, pod čornym bokom.
HSB_1_139	Čehodla njebychmy móhli tutón nałožk tež w Rakojdach zawjesć a hajić?
HSB_1_140	Při tym měło so na to dźiwać, zo su wšitcy potrjecheni do ewaluacije zapřijate.
HSB_1_141	Wučerka wuměłskeho kubłanja kaž tež wuměłc zhotowištaj ze šulerjemi figury Krabata z gipsa.
HSB_1_142	Diskusija so posłownje do protokola zapisa, a z tym je přepruwujomna.
HSB_1_143	Tam powěda wona wo Benje, kotrehož wjeska dyrbi so dla brunicoweje jamy zhubić.
HSB_1_144	Hišće lětsa ma zakoń přińć, kotryž rjaduje, hdy so kotre milinarnje wupinu.
HSB_1_145	Sobudźěłaćerjo Njepilic statoka zastarachu wšitkich z napojemi.
HSB_1_146	Je wosebitosć, zo so němski spisowaćel Serbam a serbskim stawiznam wěnuje.
HSB_1_147	My stejimy we wuskej kooperaciji z Baltiskej historiskej komisiju.
HSB_1_148	Z wjeselom dožiwich na cyrkwinskim dnju přitomne dźěći.
HSB_1_149	To je něhdźe pjeć procentow swětoweho wobydlerstwa.
HSB_1_150	Snano su tudy w prastarych časach pohanscy Serbja woprowali.
HSB_1_151	Při tym njeńdźe wo to wšitke wjelki zatřělić, ale wo to jich wobstatk rjadować.
HSB_1_152	Ale serbske šule trjebachu nuznje wučbne plany a přiručki za wučerjow.
HSB_1_153	Kajku rólu hraja starši a druhe kubłanske wosoby?
HSB_1_154	Mnohe dźěći w serbskim sydlenskim rumje wužiwaja tónle rěčny poskitk.
HSB_1_155	Mariny nabožny horicont rozłama wšitke dogmatiske hranicy.
HSB_1_156	Křesćanscy wojacy zniča pohanske swjatnišćo a rozbija skulptury staroserbskich bohow.
HSB_1_157	Kubłansko-politiske dźěło je zakład za dalše wuspěšne postupowanje projekta.
HSB_1_158	Na programje steja ekskursije do zawodow, hdźež přistajeni wšědnje serbuja.
HSB_1_159	Tohorunja měło gmejnam přizwolene być, z pomocu klučowych připokazankow wotpłaćeć inwestiwne kredity.
HSB_1_160	Kak stare ratarske a dalše mašiny funguja?
HSB_1_161	Jara rjany bě za mnje tež čas w Serbskim dźěćacym dźiwadle.
HSB_1_162	Kubłanje w narodnym duchu słuži skrućenju identity jednotliwca.
HSB_1_163	Słyšeše, kak počinaše jej wutrobička wótře pukotać, a strachoćiwje so wopraša:
HSB_1_164	Zemrěła je njedźelu, njedźela je dźeń Knjeza.
HSB_1_165	Wona wrjesny jeje šulsku tošu do róžka a staji kóčce jeje žratwu.
HSB_1_166	Mój móžachmoj hodźiny dołho tutu a druhu hudźbu słuchać.
HSB_1_167	Mi dosaha, wěm sam, kak ma so kopańca hrać.
HSB_1_168	W dwurěčnej Łužicy budźe napjate.
HSB_1_169	Ze zarjadowanjom je so sobotu w Žitawje lětuši festiwal šesćiměstow zahajił.
HSB_1_170	Wobjed wobsteješe z kisałeho kała, hrocha, howjazeho mjasa a chlěba.
HSB_1_171	Wo tym je Serbski sejm wčera nowinarjow informował.
HSB_1_172	Nic za wšo je město zamołwite, mnoho wone podpěruje.
HSB_1_173	Nowe naprawy maja so na hospodarske lěto wusměrjene nadźěłać abo wudospołnić.
HSB_1_174	Mjeno "Ochranowska bratrowska wosada" poćahuje so konkretnje na Ochranow.
HSB_1_175	Trudla Malinkowa wopisuje to w swojej nowej knize.
HSB_1_176	Za wobaj zakonjej z połnej paru dźěłamy.
HSB_1_177	Tak wuměnjeja so ewangelscy Serbja z Hornjeje a Delnjeje Łužicy.
HSB_1_178	Potom pak dopomni so na tři duby a na łuku ze słónčnymi róžemi.
HSB_1_179	Dar jej tola tobołku, to sej tola přeje!
HSB_1_180	Tole dowěri so Marja hišće krótko do smjerće swojim sobujatym kameradkam.
HSB_1_181	Před kóncowku ma so, po nowych ortografiskich zasadach, zasunyć konsonant.
HSB_1_182	Wona dawa muster rěče ze słowami w prawej gramatice, wurazu a wobsahu.
HSB_1_183	Žehliwa škleńca so na to wupřestrěwaše a běžeše hač do pincy.
HSB_1_184	Wuhlowa komisija bě jej w swojej kónčnej rozprawje sobu faworizowała.
HSB_1_185	Čłon gmejnskeje rady a mějićel hosćenca na Hamorskim boku je tohorunja inwestor łódźnistwa.
HSB_1_186	To zmóžni jej dohlad do młodych lět.
HSB_1_187	Wón je był tukawy, hač je jemu jeho syn tež wšo prajił.
HSB_1_188	Zaručić ma to gmejna Dźěwin.
HSB_1_189	Nam bě wažne, zo je za kóždy słód a kóždu starobu něšto pódla.
HSB_1_190	Próca bě wuspěšna.
HSB_1_191	Syn chodźi mjeztym na Budyski Serbski gymnazij.
HSB_1_192	To podšmórny komornik Zhorjelskeho wokrjesa.
HSB_1_193	Z tym zwoprawdźi so próstwa a wažna naležnosć rady.
HSB_1_194	Loni spočatk lěta nasta dowolowe bydlenje za šěsć wosobow.
HSB_1_195	Budźtej zhromadnje zbožownej a nječińtej sej telko starosćow!
HSB_1_196	Wčera su so tři strony na zhromadnu papjeru dojednali.
HSB_1_197	Tam zhonimy nimo našich prawow mjez druhim, kotru statnu formu w Němskej mamy.
HSB_1_198	Nastupajo Fontanowu wustajeńcu njeje so komunikacija mjez institucijemi po zdaću cyle tak radźiła.
HSB_1_199	Prošu stańće hnydom.
HSB_1_200	Hač do kónca meje woteda projektowa přirada zarjadej doporučenja k zapodatym próstwam.
HSB_1_201	Zmužite wokrjesne město Žitawa je z wotstawkom najmjeńše mjez požadarjemi.
HSB_1_202	Škričkowc tohodla, dokelž škrički wot njeho sapaja, hdyž jón zapalimy.
HSB_1_203	Nochcyše, zo by Jasnička stajnje wokoło njeho frinkoliła.
HSB_1_204	Wona bě tak přemóžena, zo wšo wokoło so zaby.
HSB_1_205	W Delnim Wujězdźe załoži wón twornju za předźěłanje słomy a rohodźe.
HSB_1_206	Mój jědźemoj nětko k optikarjej po nowe nawoči.
HSB_1_207	Waše daty njesposrědkujemy nikomu dalšemu, chibazo mamy w jednotliwym padźe wotpowědnu prawnisku winowatosć.
HSB_1_208	Wotpowědny namjet je na wčerawšej konferency wobswětowych ministrow w Hamburgu zapodała.
HSB_1_209	Wón je fachowc za zarjadniske prawo.
HSB_1_210	Zwjazkowe předsydstwo je so tuž rozsudźiło, wólbny proces kwalifikować.
HSB_1_211	Twórby, poćahowace so na bliskosć něčeho, njejsu na někajke wašnje rěčnje nadpadne.
HSB_1_212	Hač do jutřišeje soboty maja w Braniborskej bydlacy Serbja składnosć, so registrować dać.
HSB_1_213	Zwrěšćimy w Braniborskej na wustawowym nadawku, Serbam zmóžnić serbsku rěč pěstować?
HSB_1_214	W zymskim połlěće njejsu žani putnicy po puću.
HSB_1_215	Skoržićelej Němska pomoc přirody a Zelena liga witatej wukaz braniborskeho krajneho zarjada za hórnistwo.
HSB_1_216	Jako politiske wjerški wotměwachu so zwjazkowe kongresy Domowiny.
HSB_1_217	Dźěći serbskeje skupiny dóstawaja móžnosć, prawidłownje zwěrjata zastarować.
HSB_1_218	Wona přewozmje organizatoriske nadawki za zarjadowanja, kiž so na statoku wotměwaja.
HSB_1_219	Smy so na zjawnosć a z tym na wšěch ludźi wobroćili.
HSB_1_220	Wonaj połožištaj zymske drasty do wačoka a podaštaj so do horow.
HSB_1_221	Dźensa njejsu wone dawno jenož w bratrowskej wosadźe rozšěrjene.
HSB_1_222	Plan za kónc wudobywanja brunicy je nuznje trěbny.
HSB_1_223	Wón je społnomócnjeny zwjazkoweho knježerstwa za naležnosće turizma.
HSB_1_224	Wot spočatka je wón wo to wojował, projekt serbšćiny z rozšěrjenym poskitkom natwarić.
HSB_1_225	Po dwójnej poražce ma Rumunska nětko dokładnje wotwažować, što je w jeje zajimje.
HSB_1_226	Wój stej jeho hubjene na tutón podawk přihotowałoj.
